id,fund_category_fund_level,fund_type_fund_level_3,fund_group_fund_level_2,fund_fund_level_1,department_cost_center_level,division_cost_center_level,cost_center_cost_center_level,account_category_account,account_type_account_level,adopted_budget,amended_budget,fiscal_year,account_description,center_value,fund_value,account_value
35,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,269559.0,269559.0,2021,Transfers In - Operating,10001,1030,4801
36,Governmental Activities,General Funds,General,Strategic Improvement,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,409042.0,409042.0,2021,Transfers In - Loans,10001,1030,4890
37,Governmental Activities,General Funds,General,Litigation Reserve,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,5173.0,5173.0,2021,Interest Revenue,10001,1040,4451
38,Governmental Activities,General Funds,General,General,Finance,Finance,General Accounting,Revenue,Charges for Services,750000.0,750000.0,2021,Late Fees,24101,1001,4383
39,Governmental Activities,General Funds,General,Stormwater,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3605.0,3605.0,2021,Interest Revenue,10001,1130,4451
40,Governmental Activities,General Funds,General,Stormwater,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,114697.0,114697.0,2021,Transfers In - Operating,10001,1130,4801
41,Governmental Activities,General Funds,General,Parks & Recreation Donation,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,9409.0,9409.0,2021,Interest Revenue,10001,1200,4451
42,Governmental Activities,General Funds,General,Roseville Youth Sports Coalition,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,42660.0,42660.0,2021,Parks And Recreation Use Fees,10001,1201,4363
43,Governmental Activities,General Funds,General,Roseville Youth Sports Coalition,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4490.0,4490.0,2021,Interest Revenue,10001,1201,4451
44,Governmental Activities,General Funds,General,Harrigan Trust Adult Literacy,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4704.0,4704.0,2021,Interest Revenue,10001,1202,4451
45,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,147.0,147.0,2021,Interest Revenue,10001,2001,4451
46,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,94.0,94.0,2021,Interest Revenue,10001,2002,4451
47,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,80.0,80.0,2021,Interest Revenue,10001,2003,4451
48,Governmental Activities,Special Revenue Funds,Golf Course,Woodcreek,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,1004749.0,2021,Transfers In - Operating,10001,2594,4801
49,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Johnson Ranch LLD Zone E,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,107.0,107.0,2021,Interest Revenue,10001,2005,4451
50,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone A Commercial,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4034.0,4034.0,2021,Interest Revenue,10001,2006,4451
51,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Olympus Pointe LLD Zone D Residential,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,1327.0,1327.0,2021,Interest Revenue,10001,2007,4451
52,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North West Roseville LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,7304.0,7304.0,2021,Interest Revenue,10001,2008,4451
53,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North West Roseville LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,188.0,188.0,2021,Interest Revenue,10001,2009,4451
54,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone A District Wide,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3109.0,3109.0,2021,Interest Revenue,10001,2010,4451
55,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone B Local Benefit,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2815.0,2815.0,2021,Interest Revenue,10001,2011,4451
56,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone F Diamond Oaks 10,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,523.0,523.0,2021,Interest Revenue,10001,2012,4451
57,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Central Roseville LLD Zone G Diamond Oaks 14,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,214.0,214.0,2021,Interest Revenue,10001,2013,4451
58,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,94.0,94.0,2021,Interest Revenue,10001,2014,4451
59,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,550.0,550.0,2021,Interest Revenue,10001,2015,4451
60,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill LLD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,54.0,54.0,2021,Interest Revenue,10001,2017,4451
61,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Vernon Street LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,442.0,442.0,2021,Interest Revenue,10001,2019,4451
62,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Historic District LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,965.0,965.0,2021,Interest Revenue,10001,2021,4451
63,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Riverside Avenue LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,308.0,308.0,2021,Interest Revenue,10001,2023,4451
64,Governmental Activities,Special Revenue Funds,LLD & Service Districts,NWSP LLD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,10039.0,10039.0,2021,Interest Revenue,10001,2025,4451
65,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone A,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2185.0,2185.0,2021,Interest Revenue,10001,2101,4451
66,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone B,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2051.0,2051.0,2021,Interest Revenue,10001,2102,4451
67,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone C,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,5361.0,5361.0,2021,Interest Revenue,10001,2103,4451
68,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Stoneridge CFD 1 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,14180.0,14180.0,2021,Interest Revenue,10001,2104,4451
69,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Stoneridge Parcel 1 CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,737.0,737.0,2021,Interest Revenue,10001,2105,4451
70,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Woodcreek West CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,9221.0,9221.0,2021,Interest Revenue,10001,2106,4451
71,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Highland Reserve North CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,12183.0,12183.0,2021,Interest Revenue,10001,2107,4451
72,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Crocker Ranch CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,7251.0,7251.0,2021,Interest Revenue,10001,2108,4451
73,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Woodcreek East CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4222.0,4222.0,2021,Interest Revenue,10001,2109,4451
74,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Stone Point CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,1783.0,1783.0,2021,Interest Revenue,10001,2110,4451
75,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Fiddyment Ranch CFD 2 SD Public Services,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,26443.0,26443.0,2021,Interest Revenue,10001,2111,4451
76,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Municipal Services District  CFD 3 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,54.0,54.0,2021,Interest Revenue,10001,2112,4451
77,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Westpark CFD 2 SD Public Services,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,20171.0,20171.0,2021,Interest Revenue,10001,2113,4451
78,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Longmeadow CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3069.0,3069.0,2021,Interest Revenue,10001,2114,4451
79,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill Services District CFD 4 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2051.0,2051.0,2021,Interest Revenue,10001,2115,4451
80,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Infill Services District CFD 4 Annex 4 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,1300.0,1300.0,2021,Interest Revenue,10001,2116,4451
81,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Stone Point CFD 4 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,1622.0,1622.0,2021,Interest Revenue,10001,2117,4451
82,Governmental Activities,Special Revenue Funds,LLD & Service Districts,North Roseville CFD 2 SD Zone E,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,617.0,617.0,2021,Interest Revenue,10001,2118,4451
83,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Westbrook Services District CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,5468.0,5468.0,2021,Interest Revenue,10001,2119,4451
84,Governmental Activities,Special Revenue Funds,LLD & Service Districts,HP Campus Oaks CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3579.0,3579.0,2021,Interest Revenue,10001,2120,4451
85,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Creekview CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,295.0,295.0,2021,Interest Revenue,10001,2121,4451
86,Governmental Activities,Special Revenue Funds,LLD & Service Districts,Sierra Vista Services District CFD 2 SD,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,241.0,241.0,2021,Interest Revenue,10001,2122,4451
87,Governmental Activities,Special Revenue Funds,Grants,HOME Investment Partnership Program,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,8363.0,8363.0,2021,Interest Revenue,10001,2210,4451
88,Governmental Activities,Special Revenue Funds,Grants,CalHOME,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,6809.0,6809.0,2021,Interest Revenue,10001,2220,4451
89,Governmental Activities,Special Revenue Funds,Grants,BEGIN,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,1729.0,1729.0,2021,Interest Revenue,10001,2230,4451
90,Governmental Activities,Special Revenue Funds,Grants,Supplemental Law Enforcement Services,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,6272.0,6272.0,2021,Interest Revenue,10001,2240,4451
91,Governmental Activities,Special Revenue Funds,Grants,Forfeited Property,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3927.0,3927.0,2021,Interest Revenue,10001,2250,4451
92,Governmental Activities,Special Revenue Funds,Grants,Federal Asset Seizure,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2252.0,2252.0,2021,Interest Revenue,10001,2260,4451
93,Governmental Activities,Special Revenue Funds,State Gas Tax,State Gas Tax,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,49818.0,49818.0,2021,Interest Revenue,10001,2301,4451
94,Governmental Activities,Special Revenue Funds,State Gas Tax,State Gas Tax,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,1342959.0,1342959.0,2021,Transfers In - Loans,10001,2301,4890
95,Governmental Activities,Special Revenue Funds,State Gas Tax,Highway Users Tax,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,175213.0,175213.0,2021,Interest Revenue,10001,2305,4451
96,Governmental Activities,Special Revenue Funds,State Gas Tax,Road Maintenance and Rehab,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,49898.0,49898.0,2021,Interest Revenue,10001,2307,4451
97,Governmental Activities,Special Revenue Funds,Traffic Safety,Traffic Safety,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,19756.0,19756.0,2021,Interest Revenue,10001,2321,4451
98,Governmental Activities,Special Revenue Funds,Traffic Safety,Traffic Safety,Non-Classified,Non-Classified,Non-Classified,Revenue,Fines & Penalties,65000.0,65000.0,2021,Vehicle Code Fines,10001,2321,4551
99,Governmental Activities,Special Revenue Funds,Traffic Safety,Traffic Safety,Non-Classified,Non-Classified,Non-Classified,Revenue,Fines & Penalties,15000.0,15000.0,2021,Parking Violations,10001,2321,4555
100,Governmental Activities,Special Revenue Funds,Traffic Safety,Traffic Safety,Non-Classified,Non-Classified,Non-Classified,Revenue,Fines & Penalties,150000.0,150000.0,2021,Other Fines or Penalties,10001,2321,4590
101,Governmental Activities,Special Revenue Funds,Trench Cut Recovery,Trench Cut Recovery,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,3069.0,3069.0,2021,Interest Revenue,10001,2361,4451
102,Governmental Activities,Special Revenue Funds,Trench Cut Recovery,Trench Cut Recovery,Non-Classified,Non-Classified,Non-Classified,Revenue,Capital Contributions-Developers & Gov't,5000.0,5000.0,2021,Permit Fees - Trench Cut Recovery,10001,2361,4604
103,Governmental Activities,Special Revenue Funds,Technology Replacement,Technology Replacement,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,150000.0,150000.0,2021,Permit Fees - Technology,10001,2401,4206
104,Governmental Activities,Special Revenue Funds,Technology Replacement,Technology Replacement,Non-Classified,Non-Classified,Non-Classified,Revenue,Charges for Services,200000.0,0.0,2021,Permit Fees - Technology Investment,10001,2401,4208
105,Governmental Activities,Special Revenue Funds,Technology Replacement,Technology Replacement,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,30719.0,30719.0,2021,Interest Revenue,10001,2401,4451
106,Governmental Activities,Special Revenue Funds,Open Space,Open Space,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,15118.0,15118.0,2021,Interest Revenue,10001,2521,4451
107,Governmental Activities,Special Revenue Funds,Open Space,Open Space,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,634777.0,634777.0,2021,Transfers In - Operating,10001,2521,4801
108,Governmental Activities,Special Revenue Funds,Tree Propagation,Native Oak Tree Propagation,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,29767.0,29767.0,2021,Interest Revenue,10001,2541,4451
109,Governmental Activities,Special Revenue Funds,Tree Propagation,Native Oak Tree Propagation,Non-Classified,Non-Classified,Non-Classified,Revenue,Capital Contributions-Developers & Gov't,35000.0,35000.0,2021,Permit Fees - Mitigation,10001,2541,4602
110,Governmental Activities,Special Revenue Funds,Tree Propagation,Non-Native Tree Propagation,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,14984.0,14984.0,2021,Interest Revenue,10001,2545,4451
111,Governmental Activities,Special Revenue Funds,Aquatics,Roseville Aquatics Maintenance,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,9239.0,9239.0,2021,Interest Revenue,10001,2551,4451
112,Governmental Activities,Special Revenue Funds,Golf Course,Diamond Oaks,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,123345.0,123345.0,2021,Interest Revenue,10001,2591,4451
113,Governmental Activities,Special Revenue Funds,Police Evidence,Police Evidence,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4972.0,4972.0,2021,Interest Revenue,10001,2601,4451
114,Governmental Activities,Special Revenue Funds,Cable TV,Cable TV Peg,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,26712.0,26712.0,2021,Interest Revenue,10001,2701,4451
115,Governmental Activities,Special Revenue Funds,Cable TV,Cable TV Peg,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,22712.0,34555.0,2021,Transfers In - Operating,10001,2701,4801
116,Governmental Activities,Special Revenue Funds,Affordable Housing,Housing Trust,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,469.0,469.0,2021,Interest Revenue,10001,2821,4451
117,Governmental Activities,Special Revenue Funds,Affordable Housing,Housing Trust,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,0.0,3760000.0,2021,Transfers In - Operating,10001,2821,4801
118,Governmental Activities,Special Revenue Funds,Affordable Housing,Affordable Housing In Lieu and Program Equity,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,109058.0,109058.0,2021,Interest Revenue,10001,2824,4451
119,Governmental Activities,Special Revenue Funds,Housing Successor Low Mod,Housing Successor Low Mod,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,19823.0,19823.0,2021,Interest Revenue,10001,2841,4451
120,Governmental Activities,Special Revenue Funds,Housing Successor Low Mod,Housing Successor Low Mod,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,200000.0,0.0,2021,Transfers In - Operating,10001,2841,4801
121,Governmental Activities,Special Revenue Funds,Housing Successor Low Mod,Housing Successor Low Mod,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,335740.0,335740.0,2021,Transfers In - Loans,10001,2841,4890
122,Governmental Activities,Capital Project Funds,CFD Capital Project,Northwest CFD 1,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,978.0,978.0,2021,Interest Revenue,10001,3001,4451
123,Governmental Activities,Capital Project Funds,CFD Capital Project,North Central CFD 1,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,116871.0,116871.0,2021,Interest Revenue,10001,3002,4451
124,Governmental Activities,Capital Project Funds,CFD Capital Project,Stoneridge West CFD 1,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,54.0,54.0,2021,Interest Revenue,10001,3004,4451
125,Governmental Activities,Capital Project Funds,CFD Capital Project,Crocker Ranch CFD 1,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,27.0,27.0,2021,Interest Revenue,10001,3005,4451
126,Governmental Activities,Capital Project Funds,CFD Capital Project,Fiddyment Ranch CFD 1 Public Facilities,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,10307.0,10307.0,2021,Interest Revenue,10001,3006,4451
127,Governmental Activities,Capital Project Funds,CFD Capital Project,Westpark CFD 1 Public Facilities,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2573.0,2573.0,2021,Interest Revenue,10001,3007,4451
128,Governmental Activities,Capital Project Funds,CFD Capital Project,Stone Point CFD 5,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,2962.0,2962.0,2021,Interest Revenue,10001,3009,4451
129,Governmental Activities,Capital Project Funds,CFD Capital Project,Westbrook CFD 1,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,54.0,54.0,2021,Interest Revenue,10001,3012,4451
130,Governmental Activities,Capital Project Funds,GF Capital Project,Parks Recreation and Library Capital Projects,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,21793.0,21793.0,2021,Interest Revenue,10001,3130,4451
131,Governmental Activities,Capital Project Funds,GF Capital Project,Parks Recreation and Library Capital Projects,Non-Classified,Non-Classified,Non-Classified,Revenue,Transfers,707000.0,707000.0,2021,Transfers In - Operating,10001,3130,4801
132,Governmental Activities,Capital Project Funds,GF Capital Project,Parks and Recreation Fee Funded Projects,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,4999.0,4999.0,2021,Interest Revenue,10001,3131,4451
133,Governmental Activities,Capital Project Funds,GF Capital Project,Parks and Recreation Fee Funded Projects,Non-Classified,Non-Classified,Non-Classified,Revenue,Fines & Penalties,83971.0,83971.0,2021,Other Fines or Penalties,10001,3131,4590
134,Governmental Activities,Capital Project Funds,Traffic Mitigation,Traffic Mitigation,Non-Classified,Non-Classified,Non-Classified,Revenue,Use of Property & Money,487790.0,487790.0,2021,Interest Revenue,10001,3151,4451
